mz_rt,estimate,estimate1,estimate2,.y.,group1,group2,n1,n2,statistic,p,df,conf.low,conf.high,method,alternative,p.signif
313.0849_2.67,144988.7137681159,263667.5833333333,118678.86956521739,rel_abund,Control,Tomato,12,23,3.6147935226916976,0.0018600000000000001,18.91804334004636,61013.27543678361,228964.1520994482,T-test,two.sided,**
315.2051_4.15,200749.00362318842,487198.9166666667,286449.9130434783,rel_abund,Control,Tomato,12,23,2.9704784948315313,0.00926,15.51041651332237,57114.491977502046,344383.51526887476,T-test,two.sided,**
316.2037_7.59,-132098.59782608695,27089.75,159188.34782608695,rel_abund,Control,Tomato,12,23,-7.78155411568817,5.15e-8,23.989001116665516,-167135.907495522,-97061.28815665189,T-test,two.sided,****
318.1618_5.33,10001.807971014496,29314.416666666668,19312.608695652172,rel_abund,Control,Tomato,12,23,2.2791428438490424,0.0357,17.21101770581267,751.7168818870837,19251.899060141906,T-test,two.sided,*
321.0993_2.28,854609.1884057972,1638040.6666666667,783431.4782608695,rel_abund,Control,Tomato,12,23,3.5999019225618665,0.00189,19.183748967284753,358051.5808783021,1351166.7959332925,T-test,two.sided,**
324.0357_0.77,-185137.21376811597,682706.9166666666,867844.1304347826,rel_abund,Control,Tomato,12,23,-2.140799814098252,0.0439,21.42867151037366,-364764.2266987696,-5510.200837462372,T-test,two.sided,*
325.1243_2.81,24332.221014492752,61722.916666666664,37390.69565217391,rel_abund,Control,Tomato,12,23,2.4639540579773276,0.0258,15.580292909864152,3351.6487560661362,45312.79327291936,T-test,two.sided,*
327.1144_4.69,14864.99275362319,17713.166666666668,2848.1739130434785,rel_abund,Control,Tomato,12,23,6.082327222011125,4.36e-5,12.661614380661193,9570.74832552619,20159.237181720186,T-test,two.sided,****
331.2908_8.55,13849.652173913044,43482,29632.347826086956,rel_abund,Control,Tomato,12,23,3.413419356997279,0.00375,15.32037506249117,5217.205725496711,22482.09862232938,T-test,two.sided,**
333.2299_5.82,6439.72463768116,12682.333333333334,6242.608695652174,rel_abund,Control,Tomato,12,23,4.1205618109886,3.68e-4,24.816516710275607,3219.8153756835977,9659.633899678724,T-test,two.sided,***
335.114_2.76,14686.952898550728,43703.083333333336,29016.130434782608,rel_abund,Control,Tomato,12,23,2.482357368280927,0.0203,24.41781208462274,2486.8735452804585,26887.032251820994,T-test,two.sided,*
335.1145_2.92,-32939.62681159421,23235.416666666668,56175.04347826087,rel_abund,Control,Tomato,12,23,-2.6015498254602183,0.0142,30.321633764246382,-58786.44385070244,-7092.8097724859745,T-test,two.sided,*
336.2666_9.89,464293.2318840581,1198619.6666666667,734326.4347826086,rel_abund,Control,Tomato,12,23,2.5177646091336014,0.0213,18.29687455842969,77318.75228046608,851267.7114876499,T-test,two.sided,*
342.2513_5.22,-39316.17028985507,5767.916666666667,45084.086956521736,rel_abund,Control,Tomato,12,23,-10.633999534908728,3.43e-11,27.19787982669236,-46899.64479108351,-31732.695788626632,T-test,two.sided,****
345.1612_6.74,-16570.829710144928,39307.083333333336,55877.913043478264,rel_abund,Control,Tomato,12,23,-3.9107631666263094,4.33e-4,32.99781221655508,-25191.574566164687,-7950.084854125171,T-test,two.sided,***
352.1879_5.77,-21958.503623188415,69093.58333333333,91052.08695652174,rel_abund,Control,Tomato,12,23,-2.8421977219797148,0.008,29.83716767820557,-37740.48519955799,-6176.522046818843,T-test,two.sided,**
352.2613_9.35,96223.77173913043,223499.25,127275.47826086957,rel_abund,Control,Tomato,12,23,2.738005277313789,0.0135,18.131200082702605,22427.771737205436,170019.77174105542,T-test,two.sided,*
356.1397_10.19,-145453.71014492755,78628.33333333333,224082.04347826086,rel_abund,Control,Tomato,12,23,-3.175790583378447,0.00329,32.11998334961428,-238733.19602747777,-52174.224262377335,T-test,two.sided,**
356.2658_5.59,-52254.65217391304,0,52254.65217391304,rel_abund,Control,Tomato,12,23,-15.774798500897075,1.78e-13,22,-59124.43981715984,-45384.864530666244,T-test,two.sided,****
360.2666_9.82,50306.67753623189,128773.41666666667,78466.73913043478,rel_abund,Control,Tomato,12,23,2.555042189840144,0.0197,18.351031231665996,8997.89667306758,91615.45839939619,T-test,two.sided,*
370.1052_0.88,17614.119565217392,81946.25,64332.13043478261,rel_abund,Control,Tomato,12,23,2.475011434433948,0.0255,15.238027454898502,2465.667054046387,32762.5720763884,T-test,two.sided,*
370.2453_5.18,-11498.942028985506,11579.666666666666,23078.608695652172,rel_abund,Control,Tomato,12,23,-3.012001574508544,0.00578,25.565632307356122,-19352.847134973526,-3645.0369229974876,T-test,two.sided,**
372.2661_6.78,215365.46739130435,470044.25,254678.78260869565,rel_abund,Control,Tomato,12,23,2.802376304611268,0.014,14.113564584205083,50660.77170744597,380070.1630751627,T-test,two.sided,*
372.2662_6.19,85175.54347826086,198583.5,113407.95652173914,rel_abund,Control,Tomato,12,23,2.552397365886466,0.0238,13.252214372368101,13221.53879917965,157129.54815734204,T-test,two.sided,*
383.1074_6.75,-5728.514492753622,10651.833333333334,16380.347826086956,rel_abund,Control,Tomato,12,23,-3.695627922669262,9.59e-4,27.620178632382377,-8905.675270095366,-2551.353715411879,T-test,two.sided,***
384.1216_2.58,14446.67753623188,54654.416666666664,40207.739130434784,rel_abund,Control,Tomato,12,23,3.385916465541226,0.00309,19.062030630258374,5518.345862371536,23375.009210092227,T-test,two.sided,**
392.2248_9.89,41332.54710144928,184476.41666666666,143143.86956521738,rel_abund,Control,Tomato,12,23,2.301427789910122,0.0329,18.905033781462507,3730.047516059896,78935.04668683867,T-test,two.sided,*
399.2367_4.44,-23016.695652173912,0,23016.695652173912,rel_abund,Control,Tomato,12,23,-8.96799112897438,8.43e-9,22,-28339.37099146656,-17694.02031288126,T-test,two.sided,****
404.2174_6.89,24031.572463768112,68737.83333333333,44706.260869565216,rel_abund,Control,Tomato,12,23,2.3564736773356914,0.0261,26.545410528986267,3090.004057570999,44973.140869965224,T-test,two.sided,*
409.2977_5.99,-41758.913043478264,0,41758.913043478264,rel_abund,Control,Tomato,12,23,-12.321721391415116,2.39e-11,22,-48787.36973023262,-34730.45635672391,T-test,two.sided,****
411.3129_6.47,-44760.17391304348,0,44760.17391304348,rel_abund,Control,Tomato,12,23,-8.447448806695702,2.36e-8,22,-55748.9258211206,-33771.42200496635,T-test,two.sided,****
411.313_5.99,-40399.04347826087,0,40399.04347826087,rel_abund,Control,Tomato,12,23,-14.54983042921823,9.05e-13,22,-46157.35720200031,-34640.72975452143,T-test,two.sided,****
